Tap_01,Tap_02,Tap_03,Tap_04,Tap_05,Tap_06,Tap_07,Tap_08,Tap_09,Tap_10,Tap_11,Tap_12,Tap_13,Tap_14,Tap_15,Tap_16,Tap_17,Tap_18,Tap_19,Tap_20,Tap_21,Tap_22,Tap_23,Tap_24,Tap_25
-62.80465,-65.67708,-70.10084,-76.65545,-94.40674,-113.6271,-123.4631,-136.9332,-145.1551,-158.7243,-188.7802,-207.1756,-214.8462,-209.7529,-179.4366,-63.73491,-58.0479,-54.85818,-55.45839,-55.87726,-56.84697,-58.0065,-57.77125,-56.00761,-48.61137
-62.68709,-65.36007,-69.87753,-76.42855,-94.18067,-113.6706,-123.6152,-137.028,-145.1218,-158.5808,-189.0404,-207.5445,-215.3916,-210.2038,-179.7,-63.9851,-58.27989,-54.93568,-55.45827,-55.8447,-56.79422,-57.92825,-57.69238,-55.91266,-48.49201
-62.39826,-65.3812,-69.86687,-76.4698,-94.2991,-113.6923,-123.6043,-137.1755,-145.5198,-158.934,-189.409,-207.9029,-215.6645,-210.5226,-180.0116,-64.02859,-58.30098,-55.11053,-55.72348,-56.12691,-57.07901,-58.24673,-58.02248,-56.22926,-48.78508
-62.94383,-65.81425,-70.28187,-76.81001,-94.67602,-114.1272,-124.093,-137.6706,-145.9288,-159.3204,-189.9186,-208.451,-216.2318,-211.0065,-180.2962,-64.51786,-58.67004,-55.35639,-55.88915,-56.34399,-57.32172,-58.48526,-58.22233,-56.42959,-48.94785
-61.77781,-64.59958,-69.20715,-75.84055,-93.78252,-113.2357,-123.1156,-136.7119,-144.8565,-158.5809,-188.9754,-207.6289,-215.5007,-210.3468,-179.7527,-64.23505,-58.48024,-55.11053,-55.66825,-56.12691,-57.11079,-58.26857,-58.00229,-56.20816,-48.73083
-63.07195,-65.71919,-70.01585,-76.51092,-94.44994,-113.9748,-124.0146,-137.66,-145.8625,-158.9119,-190.1137,-208.6829,-216.5918,-211.4575,-180.8274,-64.01772,-58.17444,-54.86925,-55.40305,-55.8447,-56.86808,-58.05931,-57.84827,-56.0709,-48.60051
-63.38218,-65.96227,-70.24981,-76.6967,-94.63296,-114.3011,-124.2668,-137.9129,-146.0948,-158.9008,-190.2547,-208.8621,-216.6463,-211.3915,-180.5956,-64.11558,-58.1639,-54.78941,-55.29271,-55.68188,-56.63581,-57.75534,-57.51632,-55.74398,-48.34021
-62.32313,-64.90602,-69.27087,-75.98508,-93.8794,-113.4532,-123.4197,-136.9437,-145.1441,-158.5366,-189.3333,-207.945,-215.7845,-210.5997,-179.9108,-64.28954,-58.42751,-54.9998,-55.44734,-55.85555,-56.80465,-57.96102,-57.72724,-56.00761,-48.63307
-62.67628,-65.76144,-70.4731,-77.04736,-95.0096,-114.4642,-124.408,-138.0287,-146.349,-159.3423,-190.515,-209.1044,-216.9192,-211.7874,-181.1856,-63.35449,-57.72103,-54.48175,-55.03867,-55.48662,-56.5093,-57.66798,-57.39718,-55.61728,-48.18819
-63.0079,-65.92001,-70.38805,-76.98548,-94.96652,-114.4968,-124.5274,-138.0287,-146.3711,-159.2872,-190.6991,-209.3258,-217.2029,-212.0402,-181.3331,-63.06093,-57.3099,-54.10533,-54.67406,-55.10662,-56.09774,-57.25111,-57.03215,-55.29035,-47.96032
-62.5586,-65.39189,-69.98379,-76.48012,-94.43905,-114.0076,-124.1039,-137.7865,-146.1057,-159.1768,-190.2438,-208.9147,-216.7774,-211.6113,-180.9749,-63.25664,-57.46796,-54.12747,-54.66312,-55.07405,-56.04486,-57.14382,-56.9131,-55.1743,-47.84106
-62.83686,-65.43401,-69.88816,-76.56262,-94.58974,-114.1273,-124.2016,-137.755,-146.1499,-159.5631,-190.4932,-209.1783,-217.0719,-211.9083,-181.2761,-63.01731,-57.43643,-54.3489,-54.91717,-55.35626,-56.32978,-57.45863,-57.20821,-55.42738,-48.01458
-62.83686,-65.27557,-69.6115,-76.17072,-94.19144,-113.8771,-123.8867,-137.4811,-145.8293,-158.8569,-189.9944,-208.6197,-216.4719,-211.2374,-180.5007,-63.89799,-58.21662,-54.878,-55.37002,-55.75787,-56.69912,-57.85362,-57.60622,-55.87057,-48.50296
-62.35547,-65.16995,-69.71791,-76.30465,-94.24527,-113.6597,-123.626,-137.2493,-145.5087,-158.5478,-189.7234,-208.2508,-216.1227,-211.0066,-180.4059,-64.01772,-58.19553,-54.89139,-55.41421,-55.88811,-56.88918,-58.08294,-57.82626,-56.12365,-48.71998
-62.6657,-65.28613,-69.68599,-76.13963,-94.0624,-113.6162,-123.5174,-137.0069,-145.2324,-158.2388,-189.3223,-207.8397,-215.6316,-210.4568,-179.8581,-64.01759,-58.39588,-55.09068,-55.66813,-56.13776,-57.14245,-58.33236,-58.11052,-56.33475,-48.92604
-62.26989,-65.18051,-69.69663,-76.45935,-94.22388,-113.6706,-123.6478,-137.2808,-145.4866,-158.8569,-189.5066,-208.0927,-215.9589,-210.7757,-180.2268,-63.62631,-57.91083,-54.74746,-55.38095,-55.8447,-56.82587,-57.98466,-57.72724,-55.93376,-48.51382
-61.7028,-64.72633,-69.28164,-75.92306,-93.79327,-113.1596,-122.9636,-136.438,-144.6686,-158.1615,-188.5742,-207.144,-214.9552,-209.7641,-179.268,-64.34377,-58.43817,-55.03302,-55.54675,-55.9641,-56.87851,-58.05017,-57.7804,-56.01827,-48.57892
-62.63348,-65.5185,-69.96265,-76.5728,-94.36382,-113.7249,-123.6779,-137.2913,-145.3983,-158.956,-189.3223,-207.8818,-215.708,-210.5558,-180.0372,-63.76752,-58.01627,-54.68104,-55.17121,-55.54078,-56.49874,-57.64614,-57.39718,-55.63837,-48.19914
-61.99151,-64.83208,-69.14331,-75.71678,-93.56721,-113.0183,-122.9501,-136.4696,-144.7682,-157.9075,-188.6501,-207.2072,-215.0316,-209.83,-179.3102,-63.78927,-57.95301,-54.61461,-55.16016,-55.54078,-56.51984,-57.66613,-57.45029,-55.72288,-48.3401
-61.84175,-64.72646,-69.14318,-75.79929,-93.52415,-112.8443,-122.779,-136.1958,-144.4366,-158.0179,-188.314,-206.8805,-214.7152,-209.5991,-179.2154,-63.86538,-58.03736,-54.6589,-55.14912,-55.52993,-56.45653,-57.61338,-57.37518,-55.64903,-48.24255
-61.92733,-64.8849,-69.23895,-75.74786,-93.55644,-112.8552,-122.7464,-136.3011,-144.4808,-157.5433,-188.2056,-206.7117,-214.4753,-209.3682,-178.9836,-63.84376,-58.12172,-54.78068,-55.30375,-55.72541,-56.64647,-57.77535,-57.52921,-55.79662,-48.39446
-61.55304,-64.17722,-68.67499,-75.28376,-93.03957,-112.3877,-122.2794,-135.7006,-143.9281,-156.7045,-187.642,-206.1214,-213.9188,-208.8403,-178.5727,-63.64805,-57.83702,-54.5039,-55.06065,-55.45395,-56.42487,-57.56784,-57.30725,-55.49068,-48.05798
-61.7349,-64.37777,-68.89845,-75.36626,-93.02882,-112.3225,-122.2794,-135.6901,-143.8949,-156.7486,-187.5009,-205.9,-213.6242,-208.5984,-178.4462,-64.06108,-58.09008,-54.66761,-55.10493,-55.51907,-56.51973,-57.6789,-57.46129,-55.72288,-48.32935
-61.66013,-64.52577,-68.941,-75.41783,-93.10416,-112.3551,-122.1817,-135.5321,-143.7842,-156.6493,-187.2515,-205.6893,-213.4388,-208.3785,-178.1723,-63.58282,-57.94247,-54.76961,-55.30364,-55.73616,-56.69924,-57.85362,-57.62823,-55.83882,-48.4053
-61.49968,-64.20877,-68.80267,-75.25282,-93.02882,-112.2357,-122.0188,-135.3846,-143.53,-156.6713,-187.0889,-205.5207,-213.2969,-208.2245,-178.0669,-64.27853,-58.43806,-55.01088,-55.45839,-55.86641,-56.8363,-58.01741,-57.81526,-56.06047,-48.66573
-61.02898,-64.10314,-68.48359,-75.04655,-92.58744,-111.7464,-121.4541,-134.8368,-142.9662,-155.8437,-186.5035,-204.8672,-212.5223,-207.5208,-177.4348,-63.81114,-58.14269,-54.95782,-55.53571,-56.02933,-57.02637,-58.2249,-58.00229,-56.2608,-48.80679
-61.66013,-64.45171,-68.84538,-75.20111,-92.87824,-112.0725,-121.8885,-135.2687,-143.4526,-156.2742,-186.9263,-205.2888,-213.1005,-208.0046,-177.8246,-65.07223,-59.134,-55.68853,-56.16517,-56.56107,-57.49068,-58.66,-58.41862,-56.64058,-49.1105
-61.36061,-64.26158,-68.6964,-75.14954,-92.85671,-111.8985,-121.8125,-135.2267,-143.3531,-156.8371,-186.7745,-205.0675,-212.7296,-207.6308,-177.4664,-65.12659,-59.23944,-55.87674,-56.39724,-56.82169,-57.78616,-58.94561,-58.6827,-56.89388,-49.36018
-62.14152,-64.80026,-69.20715,-75.74773,-93.27655,-112.4638,-122.3011,-135.669,-143.8727,-156.7598,-187.3274,-205.6577,-213.3186,-208.3236,-178.2882,-65.007,-59.11291,-55.72174,-56.23156,-56.65876,-57.60677,-58.81457,-58.5854,-56.83059,-49.26252
-61.44607,-64.03977,-68.4091,-74.90202,-92.56605,-111.7789,-121.4947,-134.9211,-143.1099,-156.517,-186.6119,-205.0253,-212.7731,-207.6749,-177.498,-64.76793,-58.97583,-55.66638,-56.19842,-56.63716,-57.61732,-58.79273,-58.54139,-56.79882,-49.32763
-61.83117,-64.68421,-69.13267,-75.61365,-93.14737,-112.3334,-122.103,-135.4689,-143.4857,-156.9252,-187.0889,-205.4048,-213.0895,-208.0157,-177.8984,-64.5396,-58.8493,-55.56674,-56.15424,-56.59375,-57.58566,-58.78181,-58.51938,-56.71442,-49.20826
-62.10918,-65.00095,-69.271,-75.8096,-93.47032,-112.6704,-122.4722,-135.9113,-143.9944,-157.2784,-187.5551,-205.9002,-213.5805,-208.4886,-178.2882,-64.76793,-58.85995,-55.56453,-56.13215,-56.60449,-57.59621,-58.76922,-58.51765,-56.70388,-49.19731
-61.72407,-64.37777,-68.70691,-75.28362,-92.93207,-112.2247,-122.0188,-135.4267,-143.4196,-156.7486,-187.219,-205.605,-213.3186,-208.2906,-178.088,-65.01787,-58.99692,-55.57782,-56.11006,-56.51765,-57.50112,-58.66169,-58.42962,-56.64069,-49.18656
-62.0557,-64.85321,-69.21766,-75.7788,-93.4165,-112.6921,-122.646,-136.0904,-144.2597,-157.753,-187.7936,-206.2059,-213.9079,-208.7854,-178.4989,-64.96364,-59.12346,-55.74389,-56.31992,-56.7457,-57.73339,-58.91285,-58.66241,-56.88322,-49.36018
-61.51025,-64.58915,-69.33471,-75.87163,-93.28717,-112.5508,-122.2903,-135.7744,-143.718,-157.4329,-187.3708,-205.7946,-213.526,-208.4336,-178.1723,-65.21371,-59.34489,-55.87674,-56.3641,-56.79986,-57.80727,-59.02042,-58.78174,-56.96762,-49.38177
-61.45677,-64.3672,-68.97292,-75.52097,-93.07188,-112.2465,-122.0731,-135.4899,-143.5743,-157.2122,-187.1865,-205.6471,-213.406,-208.3675,-178.1618,-65.37679,-59.40828,-56.03174,-56.54071,-56.98439,-57.92334,-59.11871,-58.84776,-57.02037,-49.43602
-61.76711,-64.34621,-68.73883,-75.18063,-92.85657,-112.0833,-121.9211,-135.3109,-143.6295,-156.7265,-187.219,-205.5627,-213.3078,-208.2905,-178.1723,-65.02874,-59.134,-55.7417,-56.27574,-56.71303,-57.71217,-58.93469,-58.6827,-56.88334,-49.33847
-62.2378,-65.23332,-69.67535,-76.1087,-93.75007,-113.0293,-122.8224,-136.2486,-144.3038,-157.4883,-188.043,-206.4272,-214.1916,-209.1812,-179.0573,-64.09383,-58.4486,-55.24567,-55.84497,-56.31142,-57.25853,-58.41973,-58.16732,-56.41904,-48.93689
